Reporting country,Reference period,Item,Business type,Item code,Value,Date of extraction (yyyymmdd),"Number of submissions (per reporting country, reference date and undertaking type)"
CYPRUS,2024 Q2,Reinsurers' share,Life,R1520,25.39745,20260416,29
CYPRUS,2024 Q2,Net,Life,R1600,278.581252,20260416,29
CYPRUS,2024 Q2,Claims incurred,Life,R1601,,20260416,29
CYPRUS,2024 Q2,Gross,Life,R1610,141.123999,20260416,29
CYPRUS,2024 Q2,Reinsurers' share,Life,R1620,6.59345,20260416,29
CYPRUS,2024 Q2,Net,Life,R1700,134.530549,20260416,29
CYPRUS,2024 Q2,Changes in other technical provisions,Life,R1701,,20260416,29
CYPRUS,2024 Q2,Gross,Life,R1710,,20260416,29
CYPRUS,2024 Q2,Reinsurers' share,Life,R1720,,20260416,29
CYPRUS,2024 Q2,Net,Life,R1800,,20260416,29
CYPRUS,2024 Q2,Expenses incurred,Life,R1900,54.491682,20260416,29
CYPRUS,2024 Q2,Other expenses,Life,R2500,,20260416,29
CYPRUS,2024 Q2,Balance - other technical expenses/income,Life,R2510,0.179313,20260416,29
CYPRUS,2024 Q2,Total technical expenses,Life,R2600,54.670996,20260416,29
CYPRUS,2024 Q2,Net Combined Ratio,Non-Life,Z0001,0.89,20260416,29
CYPRUS,2024 Q2,Net Expense Ratio,Non-Life,Z0002,0.39,20260416,29
CYPRUS,2024 Q3,Premiums written,Non-Life,R0101,,20260416,29
CYPRUS,2024 Q3,Gross - Direct Business,Non-Life,R0110,646.406313,20260416,29
CYPRUS,2024 Q3,Gross - Proportional reinsurance accepted,Non-Life,R0120,6.622783,20260416,29
CYPRUS,2024 Q3,Gross - Non-proportional reinsurance accepted,Non-Life,R0130,0.167123,20260416,29
CYPRUS,2024 Q3,Reinsurers' share,Non-Life,R0140,224.653942,20260416,29
CYPRUS,2024 Q3,Net,Non-Life,R0200,428.542276,20260416,29
CYPRUS,2024 Q3,Premiums earned,Non-Life,R0201,,20260416,29
CYPRUS,2024 Q3,Gross - Direct Business,Non-Life,R0210,599.902166,20260416,29
CYPRUS,2024 Q3,Gross - Proportional reinsurance accepted,Non-Life,R0220,6.970728,20260416,29
CYPRUS,2024 Q3,Gross - Non-proportional reinsurance accepted,Non-Life,R0230,1.225601,20260416,29
CYPRUS,2024 Q3,Reinsurers' share,Non-Life,R0240,207.267317,20260416,29
CYPRUS,2024 Q3,Net,Non-Life,R0300,400.83118,20260416,29
CYPRUS,2024 Q3,Claims incurred,Non-Life,R0301,,20260416,29
CYPRUS,2024 Q3,Gross - Direct Business,Non-Life,R0310,296.882017,20260416,29
CYPRUS,2024 Q3,Gross - Proportional reinsurance accepted,Non-Life,R0320,2.51608,20260416,29
CYPRUS,2024 Q3,Gross - Non-proportional reinsurance accepted,Non-Life,R0330,-0.337006,20260416,29
CYPRUS,2024 Q3,Reinsurers' share,Non-Life,R0340,95.452194,20260416,29
CYPRUS,2024 Q3,Net,Non-Life,R0400,203.608898,20260416,29
CYPRUS,2024 Q3,Changes in other technical provisions,Non-Life,R0401,,20260416,29
CYPRUS,2024 Q3,Reinsurers' share,Non-Life,R0440,,20260416,29
CYPRUS,2024 Q3,Net,Non-Life,R0500,,20260416,29
CYPRUS,2024 Q3,Expenses incurred,Non-Life,R0550,155.699638,20260416,29
CYPRUS,2024 Q3,Other expenses,Non-Life,R1200,,20260416,29
CYPRUS,2024 Q3,Balance - other technical expenses/income,Non-Life,R1210,6.72616,20260416,29
CYPRUS,2024 Q3,Total technical expenses,Non-Life,R1300,162.425797,20260416,29
CYPRUS,2024 Q3,Premiums written,Life,R1401,,20260416,29
CYPRUS,2024 Q3,Gross,Life,R1410,463.241995,20260416,29
CYPRUS,2024 Q3,Reinsurers' share,Life,R1420,38.066789,20260416,29
CYPRUS,2024 Q3,Net,Life,R1500,425.175205,20260416,29
CYPRUS,2024 Q3,Premiums earned,Life,R1501,,20260416,29
CYPRUS,2024 Q3,Gross,Life,R1510,458.64372,20260416,29
CYPRUS,2024 Q3,Reinsurers' share,Life,R1520,37.714162,20260416,29
CYPRUS,2024 Q3,Net,Life,R1600,420.929558,20260416,29
CYPRUS,2024 Q3,Claims incurred,Life,R1601,,20260416,29
CYPRUS,2024 Q3,Gross,Life,R1610,210.411958,20260416,29
CYPRUS,2024 Q3,Reinsurers' share,Life,R1620,6.785059,20260416,29
CYPRUS,2024 Q3,Net,Life,R1700,203.626899,20260416,29
CYPRUS,2024 Q3,Changes in other technical provisions,Life,R1701,,20260416,29
CYPRUS,2024 Q3,Gross,Life,R1710,,20260416,29
CYPRUS,2024 Q3,Reinsurers' share,Life,R1720,,20260416,29
CYPRUS,2024 Q3,Net,Life,R1800,,20260416,29
CYPRUS,2024 Q3,Expenses incurred,Life,R1900,79.943851,20260416,29
CYPRUS,2024 Q3,Other expenses,Life,R2500,,20260416,29
CYPRUS,2024 Q3,Balance - other technical expenses/income,Life,R2510,0.333767,20260416,29
CYPRUS,2024 Q3,Total technical expenses,Life,R2600,80.277618,20260416,29
CYPRUS,2024 Q3,Net Combined Ratio,Non-Life,Z0001,0.9,20260416,29
CYPRUS,2024 Q3,Net Expense Ratio,Non-Life,Z0002,0.39,20260416,29
CYPRUS,2024 Q4,Premiums written,Non-Life,R0101,,20260416,29
CYPRUS,2024 Q4,Gross - Direct Business,Non-Life,R0110,889.671698,20260416,29
CYPRUS,2024 Q4,Gross - Proportional reinsurance accepted,Non-Life,R0120,9.314461,20260416,29
CYPRUS,2024 Q4,Gross - Non-proportional reinsurance accepted,Non-Life,R0130,0.192446,20260416,29
CYPRUS,2024 Q4,Reinsurers' share,Non-Life,R0140,314.488296,20260416,29
CYPRUS,2024 Q4,Net,Non-Life,R0200,584.690308,20260416,29
CYPRUS,2024 Q4,Premiums earned,Non-Life,R0201,,20260416,29
CYPRUS,2024 Q4,Gross - Direct Business,Non-Life,R0210,826.509398,20260416,29
CYPRUS,2024 Q4,Gross - Proportional reinsurance accepted,Non-Life,R0220,9.430148,20260416,29
CYPRUS,2024 Q4,Gross - Non-proportional reinsurance accepted,Non-Life,R0230,1.411627,20260416,29
CYPRUS,2024 Q4,Reinsurers' share,Non-Life,R0240,289.507466,20260416,29
CYPRUS,2024 Q4,Net,Non-Life,R0300,547.843708,20260416,29
CYPRUS,2024 Q4,Claims incurred,Non-Life,R0301,,20260416,29
CYPRUS,2024 Q4,Gross - Direct Business,Non-Life,R0310,411.540287,20260416,29
CYPRUS,2024 Q4,Gross - Proportional reinsurance accepted,Non-Life,R0320,2.580006,20260416,29
CYPRUS,2024 Q4,Gross - Non-proportional reinsurance accepted,Non-Life,R0330,0.69584,20260416,29
CYPRUS,2024 Q4,Reinsurers' share,Non-Life,R0340,144.696579,20260416,29
CYPRUS,2024 Q4,Net,Non-Life,R0400,270.119555,20260416,29
CYPRUS,2024 Q4,Changes in other technical provisions,Non-Life,R0401,,20260416,29
CYPRUS,2024 Q4,Reinsurers' share,Non-Life,R0440,,20260416,29
CYPRUS,2024 Q4,Net,Non-Life,R0500,,20260416,29
CYPRUS,2024 Q4,Expenses incurred,Non-Life,R0550,219.292376,20260416,29
CYPRUS,2024 Q4,Other expenses,Non-Life,R1200,,20260416,29
CYPRUS,2024 Q4,Balance - other technical expenses/income,Non-Life,R1210,8.096923,20260416,29
CYPRUS,2024 Q4,Total technical expenses,Non-Life,R1300,227.389298,20260416,29
CYPRUS,2024 Q4,Premiums written,Life,R1401,,20260416,29
CYPRUS,2024 Q4,Gross,Life,R1410,653.570949,20260416,29
CYPRUS,2024 Q4,Reinsurers' share,Life,R1420,50.327548,20260416,29
CYPRUS,2024 Q4,Net,Life,R1500,603.243401,20260416,29
CYPRUS,2024 Q4,Premiums earned,Life,R1501,,20260416,29
CYPRUS,2024 Q4,Gross,Life,R1510,654.329283,20260416,29
CYPRUS,2024 Q4,Reinsurers' share,Life,R1520,50.385323,20260416,29
CYPRUS,2024 Q4,Net,Life,R1600,603.943959,20260416,29
CYPRUS,2024 Q4,Claims incurred,Life,R1601,,20260416,29
CYPRUS,2024 Q4,Gross,Life,R1610,297.120737,20260416,29
CYPRUS,2024 Q4,Reinsurers' share,Life,R1620,9.414088,20260416,29
CYPRUS,2024 Q4,Net,Life,R1700,287.706649,20260416,29
CYPRUS,2024 Q4,Changes in other technical provisions,Life,R1701,,20260416,29
CYPRUS,2024 Q4,Gross,Life,R1710,,20260416,29
CYPRUS,2024 Q4,Reinsurers' share,Life,R1720,,20260416,29
CYPRUS,2024 Q4,Net,Life,R1800,,20260416,29
CYPRUS,2024 Q4,Expenses incurred,Life,R1900,108.870426,20260416,29
CYPRUS,2024 Q4,Other expenses,Life,R2500,,20260416,29
CYPRUS,2024 Q4,Balance - other technical expenses/income,Life,R2510,0.420387,20260416,29
CYPRUS,2024 Q4,Total technical expenses,Life,R2600,109.290813,20260416,29
CYPRUS,2024 Q4,Net Combined Ratio,Non-Life,Z0001,0.89,20260416,29
CYPRUS,2024 Q4,Net Expense Ratio,Non-Life,Z0002,0.4,20260416,29
CYPRUS,2025 Q1,Premiums written,Non-Life,R0101,,20260416,29
CYPRUS,2025 Q1,Gross - Direct Business,Non-Life,R0110,227.244028,20260416,29
CYPRUS,2025 Q1,Gross - Proportional reinsurance accepted,Non-Life,R0120,2.378595,20260416,29
CYPRUS,2025 Q1,Gross - Non-proportional reinsurance accepted,Non-Life,R0130,0.013236,20260416,29
CYPRUS,2025 Q1,Reinsurers' share,Non-Life,R0140,78.082615,20260416,29
CYPRUS,2025 Q1,Net,Non-Life,R0200,151.553245,20260416,29
CYPRUS,2025 Q1,Premiums earned,Non-Life,R0201,,20260416,29
CYPRUS,2025 Q1,Gross - Direct Business,Non-Life,R0210,223.305224,20260416,29
CYPRUS,2025 Q1,Gross - Proportional reinsurance accepted,Non-Life,R0220,2.381839,20260416,29
CYPRUS,2025 Q1,Gross - Non-proportional reinsurance accepted,Non-Life,R0230,0.033142,20260416,29
CYPRUS,2025 Q1,Reinsurers' share,Non-Life,R0240,78.952168,20260416,29
CYPRUS,2025 Q1,Net,Non-Life,R0300,146.768036,20260416,29
CYPRUS,2025 Q1,Claims incurred,Non-Life,R0301,,20260416,29
CYPRUS,2025 Q1,Gross - Direct Business,Non-Life,R0310,107.739273,20260416,29
CYPRUS,2025 Q1,Gross - Proportional reinsurance accepted,Non-Life,R0320,0.708988,20260416,29
CYPRUS,2025 Q1,Gross - Non-proportional reinsurance accepted,Non-Life,R0330,0.398643,20260416,29
CYPRUS,2025 Q1,Reinsurers' share,Non-Life,R0340,37.945445,20260416,29
CYPRUS,2025 Q1,Net,Non-Life,R0400,70.901459,20260416,29
CYPRUS,2025 Q1,Changes in other technical provisions,Non-Life,R0401,,20260416,29
CYPRUS,2025 Q1,Reinsurers' share,Non-Life,R0440,,20260416,29
CYPRUS,2025 Q1,Net,Non-Life,R0500,,20260416,29
CYPRUS,2025 Q1,Expenses incurred,Non-Life,R0550,61.121244,20260416,29
CYPRUS,2025 Q1,Other expenses,Non-Life,R1200,,20260416,29
CYPRUS,2025 Q1,Balance - other technical expenses/income,Non-Life,R1210,2.799283,20260416,29
CYPRUS,2025 Q1,Total technical expenses,Non-Life,R1300,63.920527,20260416,29
CYPRUS,2025 Q1,Premiums written,Life,R1401,,20260416,29
CYPRUS,2025 Q1,Gross,Life,R1410,179.064482,20260416,29
CYPRUS,2025 Q1,Reinsurers' share,Life,R1420,15.552409,20260416,29
CYPRUS,2025 Q1,Net,Life,R1500,163.512073,20260416,29
CYPRUS,2025 Q1,Premiums earned,Life,R1501,,20260416,29
CYPRUS,2025 Q1,Gross,Life,R1510,168.134735,20260416,29
CYPRUS,2025 Q1,Reinsurers' share,Life,R1520,14.754236,20260416,29
CYPRUS,2025 Q1,Net,Life,R1600,153.380497,20260416,29
CYPRUS,2025 Q1,Claims incurred,Life,R1601,,20260416,29
CYPRUS,2025 Q1,Gross,Life,R1610,91.866947,20260416,29
CYPRUS,2025 Q1,Reinsurers' share,Life,R1620,3.636353,20260416,29
CYPRUS,2025 Q1,Net,Life,R1700,88.230594,20260416,29
CYPRUS,2025 Q1,Changes in other technical provisions,Life,R1701,,20260416,29
CYPRUS,2025 Q1,Gross,Life,R1710,,20260416,29
CYPRUS,2025 Q1,Reinsurers' share,Life,R1720,,20260416,29
CYPRUS,2025 Q1,Net,Life,R1800,,20260416,29
CYPRUS,2025 Q1,Expenses incurred,Life,R1900,31.412596,20260416,29
CYPRUS,2025 Q1,Other expenses,Life,R2500,,20260416,29
CYPRUS,2025 Q1,Balance - other technical expenses/income,Life,R2510,0.156373,20260416,29
CYPRUS,2025 Q1,Total technical expenses,Life,R2600,31.568969,20260416,29
CYPRUS,2025 Q1,Net Combined Ratio,Non-Life,Z0001,0.9,20260416,29
CYPRUS,2025 Q1,Net Expense Ratio,Non-Life,Z0002,0.42,20260416,29
CYPRUS,2025 Q2,Premiums written,Non-Life,R0101,,20260416,29
CYPRUS,2025 Q2,Gross - Direct Business,Non-Life,R0110,452.050734,20260416,29
CYPRUS,2025 Q2,Gross - Proportional reinsurance accepted,Non-Life,R0120,4.232902,20260416,29
CYPRUS,2025 Q2,Gross - Non-proportional reinsurance accepted,Non-Life,R0130,0.012214,20260416,29
CYPRUS,2025 Q2,Reinsurers' share,Non-Life,R0140,155.137215,20260416,29
CYPRUS,2025 Q2,Net,Non-Life,R0200,301.158637,20260416,29
CYPRUS,2025 Q2,Premiums earned,Non-Life,R0201,,20260416,29
CYPRUS,2025 Q2,Gross - Direct Business,Non-Life,R0210,447.679705,20260416,29
CYPRUS,2025 Q2,Gross - Proportional reinsurance accepted,Non-Life,R0220,4.485332,20260416,29
CYPRUS,2025 Q2,Gross - Non-proportional reinsurance accepted,Non-Life,R0230,0.039021,20260416,29
CYPRUS,2025 Q2,Reinsurers' share,Non-Life,R0240,155.975852,20260416,29
CYPRUS,2025 Q2,Net,Non-Life,R0300,296.228208,20260416,29
CYPRUS,2025 Q2,Claims incurred,Non-Life,R0301,,20260416,29
CYPRUS,2025 Q2,Gross - Direct Business,Non-Life,R0310,213.359859,20260416,29
CYPRUS,2025 Q2,Gross - Proportional reinsurance accepted,Non-Life,R0320,1.338472,20260416,29
CYPRUS,2025 Q2,Gross - Non-proportional reinsurance accepted,Non-Life,R0330,-0.594474,20260416,29
CYPRUS,2025 Q2,Reinsurers' share,Non-Life,R0340,70.154309,20260416,29
CYPRUS,2025 Q2,Net,Non-Life,R0400,143.949548,20260416,29
CYPRUS,2025 Q2,Changes in other technical provisions,Non-Life,R0401,,20260416,29
CYPRUS,2025 Q2,Reinsurers' share,Non-Life,R0440,,20260416,29
CYPRUS,2025 Q2,Net,Non-Life,R0500,,20260416,29
CYPRUS,2025 Q2,Expenses incurred,Non-Life,R0550,120.412951,20260416,29
CYPRUS,2025 Q2,Other expenses,Non-Life,R1200,,20260416,29
CYPRUS,2025 Q2,Balance - other technical expenses/income,Non-Life,R1210,4.596766,20260416,29
CYPRUS,2025 Q2,Total technical expenses,Non-Life,R1300,125.009717,20260416,29
CYPRUS,2025 Q2,Premiums written,Life,R1401,,20260416,29
CYPRUS,2025 Q2,Gross,Life,R1410,351.55723,20260416,29
CYPRUS,2025 Q2,Reinsurers' share,Life,R1420,27.712939,20260416,29
CYPRUS,2025 Q2,Net,Life,R1500,323.844291,20260416,29
CYPRUS,2025 Q2,Premiums earned,Life,R1501,,20260416,29
CYPRUS,2025 Q2,Gross,Life,R1510,344.121853,20260416,29
CYPRUS,2025 Q2,Reinsurers' share,Life,R1520,27.102305,20260416,29
CYPRUS,2025 Q2,Net,Life,R1600,317.019548,20260416,29
CYPRUS,2025 Q2,Claims incurred,Life,R1601,,20260416,29
CYPRUS,2025 Q2,Gross,Life,R1610,187.403564,20260416,29
CYPRUS,2025 Q2,Reinsurers' share,Life,R1620,10.330033,20260416,29
CYPRUS,2025 Q2,Net,Life,R1700,177.073531,20260416,29
CYPRUS,2025 Q2,Changes in other technical provisions,Life,R1701,,20260416,29
CYPRUS,2025 Q2,Gross,Life,R1710,,20260416,29
CYPRUS,2025 Q2,Reinsurers' share,Life,R1720,,20260416,29
CYPRUS,2025 Q2,Net,Life,R1800,,20260416,29
CYPRUS,2025 Q2,Expenses incurred,Life,R1900,58.467381,20260416,29
CYPRUS,2025 Q2,Other expenses,Life,R2500,,20260416,29
CYPRUS,2025 Q2,Balance - other technical expenses/income,Life,R2510,0.211414,20260416,29
CYPRUS,2025 Q2,Total technical expenses,Life,R2600,58.678795,20260416,29
CYPRUS,2025 Q2,Net Combined Ratio,Non-Life,Z0001,0.89,20260416,29
CYPRUS,2025 Q2,Net Expense Ratio,Non-Life,Z0002,0.41,20260416,29
CYPRUS,2025 Q3,Premiums written,Non-Life,R0101,,20260416,29
CYPRUS,2025 Q3,Gross - Direct Business,Non-Life,R0110,678.119994,20260416,29
CYPRUS,2025 Q3,Gross - Proportional reinsurance accepted,Non-Life,R0120,6.2392,20260416,29
CYPRUS,2025 Q3,Gross - Non-proportional reinsurance accepted,Non-Life,R0130,0.012192,20260416,29
CYPRUS,2025 Q3,Reinsurers' share,Non-Life,R0140,238.40904,20260416,29
CYPRUS,2025 Q3,Net,Non-Life,R0200,445.962346,20260416,29
CYPRUS,2025 Q3,Premiums earned,Non-Life,R0201,,20260416,29
CYPRUS,2025 Q3,Gross - Direct Business,Non-Life,R0210,677.091444,20260416,29
CYPRUS,2025 Q3,Gross - Proportional reinsurance accepted,Non-Life,R0220,6.662678,20260416,29
CYPRUS,2025 Q3,Gross - Non-proportional reinsurance accepted,Non-Life,R0230,0.039576,20260416,29
CYPRUS,2025 Q3,Reinsurers' share,Non-Life,R0240,238.992099,20260416,29
CYPRUS,2025 Q3,Net,Non-Life,R0300,444.801598,20260416,29
CYPRUS,2025 Q3,Claims incurred,Non-Life,R0301,,20260416,29
CYPRUS,2025 Q3,Gross - Direct Business,Non-Life,R0310,256.790134,20260416,29
CYPRUS,2025 Q3,Gross - Proportional reinsurance accepted,Non-Life,R0320,1.925572,20260416,29
CYPRUS,2025 Q3,Gross - Non-proportional reinsurance accepted,Non-Life,R0330,-4.065006,20260416,29
CYPRUS,2025 Q3,Reinsurers' share,Non-Life,R0340,65.5001,20260416,29
CYPRUS,2025 Q3,Net,Non-Life,R0400,189.150599,20260416,29
CYPRUS,2025 Q3,Changes in other technical provisions,Non-Life,R0401,,20260416,29
CYPRUS,2025 Q3,Reinsurers' share,Non-Life,R0440,,20260416,29
CYPRUS,2025 Q3,Net,Non-Life,R0500,,20260416,29
CYPRUS,2025 Q3,Expenses incurred,Non-Life,R0550,191.383648,20260416,29
CYPRUS,2025 Q3,Other expenses,Non-Life,R1200,,20260416,29
CYPRUS,2025 Q3,Balance - other technical expenses/income,Non-Life,R1210,6.218275,20260416,29
CYPRUS,2025 Q3,Total technical expenses,Non-Life,R1300,197.601922,20260416,29
CYPRUS,2025 Q3,Premiums written,Life,R1401,,20260416,29
CYPRUS,2025 Q3,Gross,Life,R1410,506.057054,20260416,29
CYPRUS,2025 Q3,Reinsurers' share,Life,R1420,39.631881,20260416,29
CYPRUS,2025 Q3,Net,Life,R1500,466.425174,20260416,29
CYPRUS,2025 Q3,Premiums earned,Life,R1501,,20260416,29
CYPRUS,2025 Q3,Gross,Life,R1510,502.699888,20260416,29
CYPRUS,2025 Q3,Reinsurers' share,Life,R1520,39.278582,20260416,29
CYPRUS,2025 Q3,Net,Life,R1600,463.421306,20260416,29
CYPRUS,2025 Q3,Claims incurred,Life,R1601,,20260416,29
CYPRUS,2025 Q3,Gross,Life,R1610,256.629925,20260416,29
CYPRUS,2025 Q3,Reinsurers' share,Life,R1620,15.83507,20260416,29
CYPRUS,2025 Q3,Net,Life,R1700,240.794855,20260416,29
CYPRUS,2025 Q3,Changes in other technical provisions,Life,R1701,,20260416,29
CYPRUS,2025 Q3,Gross,Life,R1710,,20260416,29
CYPRUS,2025 Q3,Reinsurers' share,Life,R1720,,20260416,29
CYPRUS,2025 Q3,Net,Life,R1800,,20260416,29
CYPRUS,2025 Q3,Expenses incurred,Life,R1900,87.919529,20260416,29
CYPRUS,2025 Q3,Other expenses,Life,R2500,,20260416,29
CYPRUS,2025 Q3,Balance - other technical expenses/income,Life,R2510,0.286647,20260416,29
CYPRUS,2025 Q3,Total technical expenses,Life,R2600,88.206176,20260416,29
CYPRUS,2025 Q3,Net Combined Ratio,Non-Life,Z0001,0.86,20260416,29
CYPRUS,2025 Q3,Net Expense Ratio,Non-Life,Z0002,0.43,20260416,29
CYPRUS,2025 Q4,Premiums written,Non-Life,R0101,,20260416,25
CYPRUS,2025 Q4,Gross - Direct Business,Non-Life,R0110,915.526495,20260416,25
CYPRUS,2025 Q4,Gross - Proportional reinsurance accepted,Non-Life,R0120,9.111727,20260416,25
CYPRUS,2025 Q4,Gross - Non-proportional reinsurance accepted,Non-Life,R0130,0.014906,20260416,25
CYPRUS,2025 Q4,Reinsurers' share,Non-Life,R0140,337.225008,20260416,25
CYPRUS,2025 Q4,Net,Non-Life,R0200,587.428122,20260416,25
CYPRUS,2025 Q4,Premiums earned,Non-Life,R0201,,20260416,25
CYPRUS,2025 Q4,Gross - Direct Business,Non-Life,R0210,889.176241,20260416,25
CYPRUS,2025 Q4,Gross - Proportional reinsurance accepted,Non-Life,R0220,9.173571,20260416,25
CYPRUS,2025 Q4,Gross - Non-proportional reinsurance accepted,Non-Life,R0230,0.040226,20260416,25
CYPRUS,2025 Q4,Reinsurers' share,Non-Life,R0240,323.298041,20260416,25
CYPRUS,2025 Q4,Net,Non-Life,R0300,575.091998,20260416,25
CYPRUS,2025 Q4,Claims incurred,Non-Life,R0301,,20260416,25
CYPRUS,2025 Q4,Gross - Direct Business,Non-Life,R0310,456.995802,20260416,25
CYPRUS,2025 Q4,Gross - Proportional reinsurance accepted,Non-Life,R0320,2.350514,20260416,25
CYPRUS,2025 Q4,Gross - Non-proportional reinsurance accepted,Non-Life,R0330,-6.054793,20260416,25
CYPRUS,2025 Q4,Reinsurers' share,Non-Life,R0340,170.758437,20260416,25
CYPRUS,2025 Q4,Net,Non-Life,R0400,282.533083,20260416,25
CYPRUS,2025 Q4,Changes in other technical provisions,Non-Life,R0401,,20260416,25
CYPRUS,2025 Q4,Reinsurers' share,Non-Life,R0440,,20260416,25
CYPRUS,2025 Q4,Net,Non-Life,R0500,,20260416,25
CYPRUS,2025 Q4,Expenses incurred,Non-Life,R0550,249.168725,20260416,25
CYPRUS,2025 Q4,Other expenses,Non-Life,R1200,,20260416,25
CYPRUS,2025 Q4,Balance - other technical expenses/income,Non-Life,R1210,5.453367,20260416,25
CYPRUS,2025 Q4,Total technical expenses,Non-Life,R1300,241.568902,20260416,25
CYPRUS,2025 Q4,Premiums written,Life,R1401,,20260416,25
CYPRUS,2025 Q4,Gross,Life,R1410,687.127008,20260416,25
CYPRUS,2025 Q4,Reinsurers' share,Life,R1420,47.158591,20260416,25
CYPRUS,2025 Q4,Net,Life,R1500,639.968416,20260416,25
CYPRUS,2025 Q4,Premiums earned,Life,R1501,,20260416,25
CYPRUS,2025 Q4,Gross,Life,R1510,687.650499,20260416,25
CYPRUS,2025 Q4,Reinsurers' share,Life,R1520,47.167495,20260416,25
CYPRUS,2025 Q4,Net,Life,R1600,640.483003,20260416,25
CYPRUS,2025 Q4,Claims incurred,Life,R1601,,20260416,25
CYPRUS,2025 Q4,Gross,Life,R1610,337.542371,20260416,25
CYPRUS,2025 Q4,Reinsurers' share,Life,R1620,20.526923,20260416,25
CYPRUS,2025 Q4,Net,Life,R1700,317.015449,20260416,25
CYPRUS,2025 Q4,Changes in other technical provisions,Life,R1701,,20260416,25
CYPRUS,2025 Q4,Gross,Life,R1710,,20260416,25
CYPRUS,2025 Q4,Reinsurers' share,Life,R1720,,20260416,25
CYPRUS,2025 Q4,Net,Life,R1800,,20260416,25
CYPRUS,2025 Q4,Expenses incurred,Life,R1900,118.545357,20260416,25
CYPRUS,2025 Q4,Other expenses,Life,R2500,,20260416,25
CYPRUS,2025 Q4,Balance - other technical expenses/income,Life,R2510,0.527369,20260416,25
CYPRUS,2025 Q4,Total technical expenses,Life,R2600,114.961222,20260416,25
CYPRUS,2025 Q4,Net Combined Ratio,Non-Life,Z0001,0.92,20260416,25
CYPRUS,2025 Q4,Net Expense Ratio,Non-Life,Z0002,0.43,20260416,25
CZECHIA,2016 Q3,Premiums written,Non-Life,R0101,,20260416,28
CZECHIA,2016 Q3,Gross - Direct Business,Non-Life,R0110,2220.39638,20260416,28
CZECHIA,2016 Q3,Gross - Proportional reinsurance accepted,Non-Life,R0120,220.549982,20260416,28
CZECHIA,2016 Q3,Gross - Non-proportional reinsurance accepted,Non-Life,R0130,145.286214,20260416,28
CZECHIA,2016 Q3,Reinsurers' share,Non-Life,R0140,776.355689,20260416,28
CZECHIA,2016 Q3,Net,Non-Life,R0200,1809.876887,20260416,28
CZECHIA,2016 Q3,Premiums earned,Non-Life,R0201,,20260416,28
CZECHIA,2016 Q3,Gross - Direct Business,Non-Life,R0210,2143.050669,20260416,28
CZECHIA,2016 Q3,Gross - Proportional reinsurance accepted,Non-Life,R0220,191.063377,20260416,28
CZECHIA,2016 Q3,Gross - Non-proportional reinsurance accepted,Non-Life,R0230,144.16519,20260416,28
CZECHIA,2016 Q3,Reinsurers' share,Non-Life,R0240,756.724971,20260416,28
CZECHIA,2016 Q3,Net,Non-Life,R0300,1721.554265,20260416,28
CZECHIA,2016 Q3,Claims incurred,Non-Life,R0301,,20260416,28
CZECHIA,2016 Q3,Changes in other technical provisions,Non-Life,R0401,,20260416,28
CZECHIA,2016 Q3,Gross - Direct Business,Non-Life,R0410,-1.506033,20260416,28
CZECHIA,2016 Q3,Gross - Proportional reinsurance accepted,Non-Life,R0420,-0.00284,20260416,28
CZECHIA,2016 Q3,Gross - Non-proportional reinsurance accepted,Non-Life,R0430,0.0,20260416,28
CZECHIA,2016 Q3,Reinsurers' share,Non-Life,R0440,0.068792,20260416,28
CZECHIA,2016 Q3,Net,Non-Life,R0500,-1.577665,20260416,28
CZECHIA,2016 Q3,Premiums written,Life,R1401,,20260416,28
CZECHIA,2016 Q3,Premiums earned,Life,R1501,,20260416,28
CZECHIA,2016 Q3,Claims incurred,Life,R1601,,20260416,28
CZECHIA,2016 Q3,Changes in other technical provisions,Life,R1701,,20260416,28
CZECHIA,2016 Q4,Premiums written,Non-Life,R0101,,20260416,28
CZECHIA,2016 Q4,Gross - Direct Business,Non-Life,R0110,2926.163713,20260416,28
CZECHIA,2016 Q4,Gross - Proportional reinsurance accepted,Non-Life,R0120,284.547016,20260416,28
CZECHIA,2016 Q4,Gross - Non-proportional reinsurance accepted,Non-Life,R0130,195.905428,20260416,28
CZECHIA,2016 Q4,Reinsurers' share,Non-Life,R0140,1060.042889,20260416,28
CZECHIA,2016 Q4,Net,Non-Life,R0200,2346.573268,20260416,28
CZECHIA,2016 Q4,Premiums earned,Non-Life,R0201,,20260416,28
CZECHIA,2016 Q4,Gross - Direct Business,Non-Life,R0210,2883.3356,20260416,28
CZECHIA,2016 Q4,Gross - Proportional reinsurance accepted,Non-Life,R0220,250.854937,20260416,28
CZECHIA,2016 Q4,Gross - Non-proportional reinsurance accepted,Non-Life,R0230,195.691274,20260416,28
CZECHIA,2016 Q4,Reinsurers' share,Non-Life,R0240,1026.692303,20260416,28
CZECHIA,2016 Q4,Net,Non-Life,R0300,2303.189507,20260416,28
CZECHIA,2016 Q4,Claims incurred,Non-Life,R0301,,20260416,28
CZECHIA,2016 Q4,Changes in other technical provisions,Non-Life,R0401,,20260416,28
CZECHIA,2016 Q4,Gross - Direct Business,Non-Life,R0410,-5.849729,20260416,28
CZECHIA,2016 Q4,Gross - Proportional reinsurance accepted,Non-Life,R0420,-0.004574,20260416,28
